service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20240404,20241214
9,0,0,0,0,0,0,0,20240404,20241214
10,1,1,1,1,1,1,1,20240404,20241214
11,1,1,1,1,1,1,1,20240404,20241214
17,0,0,0,0,0,0,1,20240404,20241214
25,1,1,1,1,1,0,0,20240404,20241214
28,0,0,0,0,0,0,0,20240404,20241214
29,0,0,0,0,0,0,0,20240404,20241214
33,0,0,0,0,0,0,0,20240404,20241214
34,1,1,1,1,1,0,0,20240404,20241214
35,0,0,0,0,0,0,0,20240404,20241214
37,0,0,0,0,0,1,1,20240404,20241214
43,0,0,0,0,0,1,0,20240404,20241214
57,0,0,0,0,0,0,0,20240404,20241214
63,0,0,0,0,0,0,0,20240404,20241214
66,0,0,0,0,0,0,0,20240404,20241214
70,0,0,0,0,0,0,0,20240404,20241214
102,0,0,0,0,0,0,0,20240404,20241214
104,0,0,0,0,0,0,0,20240404,20241214
116,0,0,0,0,0,0,0,20240404,20241214
117,0,0,0,0,0,0,0,20240404,20241214
118,0,0,0,0,0,0,0,20240404,20241214
119,0,0,0,0,0,0,0,20240404,20241214
120,0,0,0,0,0,0,0,20240404,20241214
121,0,0,0,0,0,0,0,20240404,20241214
122,0,0,0,0,0,0,0,20240404,20241214
123,0,0,0,0,0,0,0,20240404,20241214
126,0,0,0,0,0,0,0,20240404,20241214
127,0,0,0,0,0,0,0,20240404,20241214
128,0,0,0,0,0,0,0,20240404,20241214
154,0,0,0,0,0,0,0,20240404,20241214
189,0,0,0,0,0,0,0,20240404,20241214
200,0,0,0,0,0,0,0,20240404,20241214
205,0,0,0,0,0,0,0,20240404,20241214
230,0,0,0,0,0,0,0,20240404,20241214
246,0,0,0,0,0,0,0,20240404,20241214
253,0,0,0,0,0,0,0,20240404,20241214
264,0,0,0,0,0,0,0,20240404,20241214
340,0,0,0,0,0,0,0,20240404,20241214
359,0,0,0,0,0,0,0,20240404,20241214
362,0,0,0,0,0,0,0,20240404,20241214
386,0,0,0,0,0,0,0,20240404,20241214
435,0,0,0,0,0,0,0,20240404,20241214
437,0,0,0,0,0,0,0,20240404,20241214
449,0,0,0,0,0,0,0,20240404,20241214
