route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
25942_100,1316,230357299,"Angermünde, Bahnhof",19885,0,,8188,0,0
25942_100,1316,230357298,"Angermünde, Bahnhof",19887,0,,8188,0,0
25942_100,1316,230357297,"Angermünde, Bahnhof",19889,0,,8188,0,0
25942_100,1316,230357296,"Angermünde, Bahnhof",19891,0,,8188,0,0
25942_100,1316,230357295,"Angermünde, Bahnhof",19893,0,,8188,0,0
25942_100,1316,230357294,"Angermünde, Bahnhof",19895,0,,8188,0,0
25942_100,1316,230357293,"Angermünde, Bahnhof",19897,0,,8188,0,0
25942_100,1316,230357292,"Angermünde, Bahnhof",19899,0,,8188,0,0
25942_100,1316,230357291,"Schwedt, Bahnhof",19884,1,,8189,0,0
25942_100,1316,230357290,"Schwedt, Bahnhof",19886,1,,8189,0,0
25942_100,1316,230357289,"Schwedt, Bahnhof",19888,1,,8189,0,0
25942_100,1316,230357288,"Schwedt, Bahnhof",19890,1,,8189,0,0
25942_100,1316,230357287,"Schwedt, Bahnhof",19892,1,,8189,0,0
25942_100,1316,230357286,"Schwedt, Bahnhof",19894,1,,8189,0,0
25942_100,1316,230357285,"Schwedt, Bahnhof",19896,1,,8189,0,0
25942_100,1316,230357284,"Schwedt, Bahnhof",19898,1,,8189,0,0
25305_700,10,230348305,"Angermünde, Bahnhof",49001,0,,8186,0,0
25305_700,10,230348304,"Angermünde, Bahnhof",49003,0,,8186,0,0
25305_700,10,230348303,"Angermünde, Bahnhof",49005,0,,8186,0,0
25305_700,10,230348302,"Angermünde, Bahnhof",49007,0,,8186,0,0
25305_700,10,230348301,"Angermünde, Bahnhof",49009,0,,8186,0,0
25305_700,10,230348300,"Angermünde, Bahnhof",49011,0,,8186,0,0
25305_700,10,230348299,"Angermünde, Bahnhof",49013,0,,8186,0,0
25305_700,10,230348298,"Angermünde, Bahnhof",49015,0,,8186,0,0
25305_700,10,230348297,"Angermünde, Bahnhof",49017,0,,8186,0,0
25305_700,10,230348296,"Szczecin, Krzysztofa Kolumba",49000,1,,8187,0,0
25305_700,10,230348295,"Szczecin, Krzysztofa Kolumba",49002,1,,8187,0,0
25305_700,10,230348294,"Szczecin, Krzysztofa Kolumba",49004,1,,8187,0,0
25305_700,10,230348293,"Szczecin, Krzysztofa Kolumba",49006,1,,8187,0,0
25305_700,10,230348292,"Szczecin, Krzysztofa Kolumba",49008,1,,8187,0,0
